"metro","cbsa","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
"Cheyenne, WY","=""16940""","6,763",29,"6,763","14,252,213","2,210","1,730,231","3,825","4,931,519",498,270,449,"6,597","27,554,834",140,"178,646","5,882",0,"2,416","4,217","2,166",300,"2,790","3,159",0,861,726,"1,013","1,116",684,600,692,629,476,441,0
"Chicago-Naperville-Elgin, IL-IN-WI","=""16980""","739,929","17,257","739,929","1,876,807,213","163,364","116,520,572","435,097","565,309,445","46,822","45,338","35,795","703,059","3,037,351,134","35,919","32,305,218","629,040",0,"270,075","320,483","402,542","14,676","449,659","241,815",0,"231,248","61,376","128,436","173,546","100,724","74,533","65,540","56,881","41,291","30,398",212
"Chico, CA","=""17020""","17,535",339,"17,535","38,612,863","4,400","3,344,802","9,435","11,864,210",566,459,790,"16,652","61,405,316",824,"794,888","13,783",0,"5,937","8,274","8,773",363,"7,756","7,637",0,"3,461","1,925","3,165","3,557","2,066","1,685","1,528","1,249",939,859,0
"Cincinnati, OH-KY-IN","=""17140""","163,296","1,826","163,296","393,557,169","42,298","32,265,837","96,878","123,538,362","7,445","7,542","9,041","158,724","675,304,408","4,047","4,098,971","142,056",353,"68,402","92,422","66,671","3,395","85,473","63,978",0,"31,529","16,652","27,522","34,953","20,931","15,945","14,419","12,668","9,356","7,205",0
"Clarksville, TN-KY","=""17300""","30,849",205,"30,849","79,771,864","8,898","6,613,739","20,995","29,352,079","2,010","1,659","2,276","30,300","149,805,674",480,"539,451","28,760",0,"13,510","16,855","12,416","1,492","14,056","14,561",0,"5,006","2,237","4,620","5,424","3,696","3,383","3,360","2,866","2,400","2,131",84
"Cleveland, TN","=""17420""","11,504",110,"11,504","27,415,940","2,849","2,123,745","6,670","8,658,400",279,343,384,"11,087","46,438,490",305,"375,332","10,044",0,"4,816","5,121","6,083",230,"5,656","4,734",0,"2,596","1,067","1,882","2,406","1,362","1,170",967,784,598,603,0
"Cleveland-Elyria, OH","=""17460""","171,145","2,581","171,145","423,321,281","37,948","27,851,150","99,344","126,235,937","8,552","9,563","8,354","165,669","694,981,789","5,225","4,506,832","147,002",486,"63,822","100,042","65,188","5,502","90,009","67,278",0,"37,328","16,773","30,380","40,414","23,228","16,739","14,488","12,451","8,631","6,287",0
"Coeur d'Alene, ID","=""17660""","12,086",28,"12,086","26,640,827","3,334","2,587,155","6,687","9,055,857",699,508,826,"11,514","43,782,079",491,"494,301","10,213",0,"4,041","7,095","4,044",895,"6,540","4,496",0,"2,786","1,210","1,815","2,250","1,409","1,166","1,156",955,816,831,25
"College Station-Bryan, TX","=""17780""","17,563",277,"17,563","46,022,029","4,627","3,315,545","11,084","14,710,988","1,093",776,760,"17,133","77,810,075",358,"439,229","15,167",44,"7,926","9,206","7,849",402,"8,903","7,455",0,"3,853","1,313","2,711","3,705","2,496","2,085","1,700","1,248",970,745,0
"Colorado Springs, CO","=""17820""","53,397",532,"53,397","124,264,499","15,789","12,071,796","32,723","45,250,476","3,091","3,025","4,478","51,422","221,517,260","1,734","1,758,298","46,994",0,"20,277","30,860","19,943","2,124","27,304","21,655",0,"11,071","4,501","7,725","9,668","5,878","5,170","5,607","4,994","4,069","3,791",21
"Columbia, MO","=""17860""","12,013",223,"12,013","26,138,560","3,078","2,341,470","6,645","8,435,038",791,652,906,"11,637","45,716,124",316,"320,888","10,043",0,"4,200","6,747","4,407",812,"5,667","5,285",0,"2,076","1,314","2,064","2,484","1,355","1,120","1,079",912,690,535,0
"Columbia, SC","=""17900""","78,133",815,"78,133","196,243,179","19,062","13,639,748","48,115","60,645,480","6,266","5,031","4,064","76,135","313,268,901","1,872","1,714,364","69,664",502,"38,854","39,147","37,164","1,472","42,467","30,214",0,"16,463","6,298","12,634","16,869","10,985","8,735","7,751","6,083","4,135","3,455",0
"Columbus, GA-AL","=""17980""","41,962",418,"41,962","118,744,828","8,699","6,077,106","27,042","35,562,866","3,248","3,325","1,359","41,334","197,022,489",445,"543,025","39,223",0,"26,611","12,367","27,626","1,673","28,426","11,933",0,"11,110","2,146","6,504","10,180","6,693","4,739","3,845","2,855","2,196","1,808",23
"Columbus, IN","=""18020""","5,801",79,"5,801","12,386,664","1,631","1,307,415","3,159","3,850,330",233,188,277,"5,631","23,098,686",147,"137,438","5,140",0,"2,504","3,062","2,501",183,"3,074","2,203",0,818,678,983,"1,098",565,536,471,448,385,310,0
"Columbus, OH","=""18140""","160,788","2,994","160,788","400,422,429","41,029","30,696,182","96,837","127,032,411","7,937","7,913","8,775","155,318","662,188,292","5,011","4,760,461","139,291",511,"63,369","89,502","66,738","3,539","84,785","62,910",0,"37,940","14,919","26,517","35,155","21,300","16,265","14,701","12,331","8,966","6,805",0
