"metro","cbsa","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
"Trenton, NJ","=""45940""","23,464",722,"23,464","54,002,262","6,006","4,298,900","13,574","16,325,123","1,928","1,401",898,"22,584","95,634,885",831,"879,011","19,113",0,"9,525","9,594","13,034",668,"13,002","8,426",0,"4,447","2,235","4,071","4,828","2,835","2,433","2,283","1,924","1,381",887,0
"Tucson, AZ","=""46060""","89,220","2,163","89,220","229,322,361","23,357","16,854,286","55,369","74,217,824","4,682","3,764","4,450","86,259","360,783,171","2,766","2,360,206","77,892",51,"34,158","47,758","37,032","4,083","45,855","36,608",0,"18,423","6,989","13,697","18,613","12,826","10,359","8,842","7,238","5,087","3,999",23
"Tulsa, OK","=""46140""","78,869","1,061","78,869","194,402,096","23,375","18,182,821","49,163","64,985,962","3,640","3,249","3,870","76,437","326,935,005","2,035","2,269,339","70,787",0,"36,367","39,302","35,992","2,942","40,917","32,305",0,"16,428","6,757","11,914","14,928","9,462","8,442","7,867","6,803","5,065","4,706",23
"Tuscaloosa, AL","=""46220""","24,177",300,"24,177","67,418,449","5,451","3,790,853","14,976","18,649,433","1,382","1,510",614,"23,784","108,443,075",278,"359,399","22,213",227,"13,690","11,062","12,479",467,"13,465","9,418",0,"4,731","1,316","3,537","5,796","4,044","2,764","2,215","1,743","1,135",743,0
"Tyler, TX","=""46340""","19,800",255,"19,800","51,710,179","5,327","3,936,296","12,370","16,360,008","1,054",854,619,"19,224","86,666,736",490,"601,016","17,418",282,"9,049","8,833","10,676",146,"9,097","9,147",0,"4,453","1,508","2,955","4,162","2,940","2,282","1,885","1,565","1,170",994,0
"Urban Honolulu, HI","=""46520""","71,691","1,795","71,691","157,763,503","21,523","16,719,563","41,566","56,659,412","3,895","3,747","4,016","68,451","297,806,626","3,132","2,696,176","57,255",54,"24,418","33,112","35,597","2,676","33,899","31,380",0,"12,915","7,330","11,040","12,151","7,424","6,958","7,717","7,248","5,681","5,007",184
"Utica-Rome, NY","=""46540""","25,019",374,"25,019","58,879,809","6,072","4,521,294","14,313","18,221,877",792,767,"1,238","24,084","101,240,610",598,"715,789","20,879",0,"9,293","12,519","11,080",973,"12,531","10,148",0,"4,737","2,341","4,105","4,503","2,976","2,389","2,092","1,693","1,080",850,0
"Valdosta, GA","=""46660""","16,975",124,"16,975","46,893,843","3,799","2,623,829","11,143","14,388,545",749,759,544,"16,656","76,040,280",235,"239,017","15,404",91,"8,860","8,269","8,310",315,"8,516","7,284",0,"3,310","1,199","2,813","4,060","2,581","1,695","1,481","1,098",792,649,0
"Vallejo-Fairfield, CA","=""46700""","29,234",712,"29,234","65,070,661","8,679","6,699,797","16,774","20,899,978","1,663","1,416","1,364","28,151","112,351,447","1,060","1,002,358","23,965",0,"9,897","15,039","13,204",933,"13,507","12,912",0,"5,517","2,609","4,829","5,844","3,452","2,883","2,773","2,589","2,170","1,755",21
"Victoria, TX","=""47020""","9,474",95,"9,474","24,846,374","2,662","1,998,244","6,020","7,748,132",406,219,191,"9,239","43,027,894",188,"201,748","8,363",0,"4,136","4,967","4,275",171,"4,306","4,356",0,"1,723",737,"1,388","1,969","1,387","1,050",857,650,503,394,0
"Vineland-Bridgeton, NJ","=""47220""","15,180",373,"15,180","37,843,804","4,262","3,145,314","9,648","11,870,035","1,313",754,478,"14,955","68,277,205",200,"208,902","13,163",0,"7,188","6,741","8,099",143,"7,704","6,193",0,"1,817","1,147","2,313","3,035","2,003","1,667","1,473","1,344",866,647,0
"Virginia Beach-Norfolk-Newport News, VA-NC","=""47260""","158,299","2,071","158,299","384,337,782","40,815","29,939,809","97,295","124,506,266","12,974","10,209","9,239","155,003","672,813,858","2,910","2,792,925","145,224",579,"67,509","103,960","49,343","4,175","78,383","67,141",0,"28,546","12,158","25,225","33,347","20,657","16,316","15,291","13,340","9,792","8,338",74
"Visalia-Porterville, CA","=""47300""","54,024","1,822","54,024","152,598,611","16,143","11,113,800","38,077","50,108,241","2,288","1,951","1,283","52,617","233,904,994","1,238","1,335,810","40,398",0,"18,209","17,352","35,948",543,"29,244","22,210",0,"8,667","2,940","7,473","10,804","8,668","6,555","5,649","4,576","3,304","2,989",58
"Waco, TX","=""47380""","27,273",407,"27,273","72,050,467","7,751","5,607,432","17,496","22,984,318","1,424",928,"1,023","26,706","125,901,671",348,"563,225","24,078",0,"11,591","14,526","11,612",980,"13,044","12,222",0,"4,130","2,007","3,840","5,385","4,445","3,173","2,794","2,174","1,493","1,100",0
"Walla Walla, WA","=""47460""","4,418",48,"4,418","10,112,883","1,294","970,121","2,575","3,454,159",185,185,218,"4,294","17,876,982",96,"113,058","3,744",0,"1,310","2,292","1,886",176,"2,004","1,984",0,729,398,637,789,492,433,365,321,237,267,0
"Warner Robins, GA","=""47580""","20,453",242,"20,453","55,998,096","4,413","3,060,164","13,325","17,271,608","1,409","1,488",851,"20,095","91,087,419",323,"472,329","18,813",0,"11,130","10,408","9,634",316,"11,869","7,374",0,"5,191","1,379","3,282","4,927","2,965","2,274","1,898","1,507","1,030",898,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV","=""47900""","358,649","10,804","358,649","815,524,607","91,856","67,313,055","204,139","262,981,423","27,674","22,114","16,309","336,402","1,361,601,666","21,184","20,271,137","288,439",0,"115,816","156,703","190,910","8,771","219,153","112,129",0,"112,431","32,857","59,070","73,919","42,868","35,141","33,846","31,539","23,643","17,234",68
"Waterloo-Cedar Falls, IA","=""47940""","11,278",207,"11,278","25,444,718","3,194","2,472,092","6,509","8,260,358",691,417,801,"10,939","45,548,144",244,"340,394","9,783",0,"4,236","4,896","5,569",613,"6,108","4,187",0,"1,725","1,026","1,708","2,045","1,207","1,015","1,010",921,578,464,0
"Watertown-Fort Drum, NY","=""48060""","11,680",34,"11,680","28,616,395","3,490","2,655,703","7,614","10,760,964",483,324,758,"11,401","56,087,021",119,"229,844","10,712",0,"4,544","5,401","5,198",687,"5,037","5,596",0,"1,597",796,"1,610","1,889","1,124","1,173","1,171",876,685,685,22
"Wausau, WI","=""48140""","8,625",0,"8,625","17,928,865","2,522","2,004,878","4,547","6,150,931",360,297,587,"8,280","32,789,137",250,"303,076","7,124",0,"2,441","4,368","3,900",293,"4,272","3,535",0,"1,548",852,"1,307","1,602",878,872,783,732,495,576,0
"Weirton-Steubenville, WV-OH","=""48260""","9,890",47,"9,890","22,010,285","2,277","1,783,601","5,131","6,288,228",72,198,400,"9,665","38,742,770",60,"163,200","8,467",0,"4,208","5,117","4,390",171,"4,257","4,313",0,"1,467",965,"1,719","2,110","1,070",747,575,504,444,369,0
"Wenatchee, WA","=""48300""","9,120",127,"9,120","21,455,769","3,042","2,242,433","5,551","7,177,963",359,216,331,"8,862","37,626,150",189,"242,651","7,590",0,"1,850","5,287","3,672",74,"3,118","5,031",0,"1,205",705,"1,159","1,491","1,094","1,152",953,713,491,469,0
"Wheeling, WV-OH","=""48540""","11,032",36,"11,032","24,095,783","2,545","1,909,312","5,708","6,764,503",126,256,491,"10,772","42,350,087",162,"194,370","9,336",0,"4,457","5,322","4,670",800,"5,173","4,597",0,"1,587","1,179","1,986","2,474","1,214",895,686,545,375,355,0
"Wichita Falls, TX","=""48660""","12,969",164,"12,969","32,155,242","3,624","2,744,468","8,164","10,739,319",706,486,505,"12,656","57,339,532",216,"310,040","11,575",0,"4,840","7,824","4,171",856,"5,547","6,243",0,"1,937","1,102","2,039","2,499","1,734","1,371","1,118",978,766,707,0
"Wichita, KS","=""48620""","50,868",777,"50,868","124,334,836","15,206","11,687,022","31,739","42,938,373","2,925","2,595","2,929","49,579","216,563,889",957,"1,150,053","44,215",0,"21,105","25,580","23,024","1,769","22,788","23,980",0,"8,320","4,406","7,545","9,304","6,334","5,486","4,951","4,212","3,159","3,112",0
"Williamsport, PA","=""48700""","8,942",49,"8,942","18,907,732","2,325","1,779,710","4,753","5,794,276",329,349,680,"8,675","36,062,669",217,"218,173","7,768",0,"3,105","4,616","4,128",85,"3,862","4,041",0,"1,341","1,052","1,558","1,786","1,016",902,749,651,468,419,0
"Wilmington, NC","=""48900""","21,442",253,"21,442","47,400,744","4,667","3,424,571","11,528","13,865,624","1,197",890,"1,078","20,377","75,509,149",974,"996,972","17,999",0,"9,128","11,954","8,337","1,051","12,095","7,519",0,"5,432","2,378","4,079","4,971","2,588","1,970","1,599","1,490","1,062",865,0
"Winchester, VA-WV","=""49020""","9,777",83,"9,777","21,494,243","2,745","2,102,600","5,406","6,918,352",416,262,290,"9,385","38,679,969",261,"382,387","8,413",0,"3,437","5,024","4,386",138,"5,158","3,568",0,"1,905",886,"1,503","1,822","1,046",867,808,676,538,451,0
"Winston-Salem, NC","=""49180""","60,564","1,035","60,564","149,377,822","14,859","10,813,149","35,767","44,806,489","3,356","2,559","1,943","58,649","244,584,004","1,768","1,757,617","52,974",56,"27,755","27,491","30,084","2,717","32,777","23,564",0,"13,377","5,194","10,128","13,322","8,396","6,386","5,513","4,544","3,307","2,586",0
"Worcester, MA-CT","=""49340""","59,296",999,"59,296","125,728,447","16,150","12,444,013","31,515","37,433,540","2,900","2,702","2,909","56,739","231,628,877","1,893","2,506,649","47,271",0,"19,691","28,011","29,142","1,266","27,928","25,201",0,"10,585","6,410","9,858","11,019","6,274","5,493","5,262","4,651","3,367","2,216",0
"Yakima, WA","=""49420""","25,813",732,"25,813","67,668,502","9,031","6,522,121","17,327","23,241,481","1,291",871,854,"25,364","120,269,457",328,"459,341","22,363",39,"8,499","12,657","12,494",551,"10,174","14,023",0,"3,000","1,811","3,276","4,199","3,581","3,472","3,082","2,372","1,694","1,550",22
"York-Hanover, PA","=""49620""","31,526",329,"31,526","69,726,043","9,101","7,023,438","18,013","22,534,083","1,596","1,333","2,011","30,605","130,298,745",738,"844,353","27,256",0,"11,326","17,212","12,980","1,002","15,459","13,132",0,"4,943","3,417","5,030","5,965","3,520","3,297","2,988","2,571","1,943","1,649",0
"Youngstown-Warren-Boardman, OH-PA","=""49660""","47,469",473,"47,469","110,474,349","10,149","7,657,137","25,920","32,284,650","1,134","2,161","2,393","46,019","188,026,428","1,086","1,132,661","40,671",0,"17,058","25,057","21,062",935,"23,721","19,268",0,"9,661","5,239","8,806","10,843","5,902","4,150","3,308","2,773","2,131","1,840",0
"Yuba City, CA","=""49700""","15,924",466,"15,924","40,151,507","4,640","3,521,466","10,071","13,449,466",508,459,486,"15,220","64,022,001",594,"856,383","11,846",29,"4,501","6,225","9,410",189,"7,594","7,049",0,"3,201","1,213","2,217","2,848","1,991","1,679","1,517","1,394","1,102","1,111",0
"Yuma, AZ","=""49740""","29,526",769,"29,526","83,657,082","7,654","5,165,104","20,790","26,812,124","1,015",952,541,"28,962","126,533,497",534,"463,758","22,748",0,"8,699","12,463","16,170",813,"16,816","11,350",0,"4,255","1,427","4,200","6,328","5,089","3,603","2,900","2,364","1,712","1,534",36
